,numero_client,id_personne,id_coordonnee,nom,prenom,date_inscription,solde_client,npa,localite,rue,numero_rue,complement,adresse_mail,telephone,pays
760,182277,438273,360463,Anna,Müller,2023-08-11,0.0,Broggackerweg,7010,Ruggell,574,,Anna.Müller@gmail.com,+49808282112,FRANCE
106,186385,411649,397331,Sandra,Meier,2021-10-20,7.54,Fürst-Johann-Strasse,7002,Triesen,662,,Sandra.Meier@yahoo.com,+419495336966,FRANCE
74,186395,454668,348180,Ursula,Schmid,2022-03-08,0.0,Feldkircher Strasse,7005,Schaan,874,,Ursula.Schmid@yahoo.com,+33797317128,FRANCE
62,192541,436240,356375,Monika,Keller,2024-07-16,0.0,Quellenstrasse,7007,Eschen,338,,Monika.Keller@yahoo.com,+41172638226,FRANCE
176,122913,415762,366620,Elisabeth,Weber,2021-12-23,0.0,Gafadurastrasse,7006,Planken,514,,Elisabeth.Weber@outlook.com,+41944992281,FRANCE
725,176161,456723,370718,Claudia,Schneider,2022-03-08,6.57,Kornweg,7001,Vaduz,858,,Claudia.Schneider@gmail.com,+41479625245,FRANCE
24,167976,432164,344101,Ruth,Huber,2021-07-24,0.0,Schwemmegass,7007,Eschen,714,Bis,Ruth.Huber@gmail.com,+41410830883,FRANCE
890,157737,411688,352294,Nicole,Meyer,2022-04-10,0.0,Under Ställ,7006,Planken,333,,Nicole.Meyer@yahoo.com,+41258445349,FRANCE
753,161841,430124,383016,Barbara,Steiner,2021-12-23,0.0,Im Wüerle,7010,Ruggell,130,,Barbara.Steiner@gmail.com,+41283207723,FRANCE
447,172093,448560,391214,Andrea,da Silva,2023-07-30,0.0,Winkel,7011,Schellenberg,345,,Andrea.da Silva@gmail.com,+41429963321,FRANCE
536,190531,456759,329776,Verena,Fischer,2024-03-14,2.97,Plankner Strasse,7005,Schaan,29,,Verena.Fischer@yahoo.com,+419285347385,FRANCE
499,182342,444473,323652,Silvia,Gerber,2022-07-18,0.0,Auf der Kaserna,7006,Planken,683,,Silvia.Gerber@gmail.com,+41860223547,FRANCE
133,188492,452669,393289,Daniela,Baumann,2023-09-16,6.78,Franz-Josef-Oehri-Strasse,7008,Mauren,544,,Daniela.Baumann@yahoo.com,+41186472509,FRANCE
734,186450,454721,395338,Christine,Brunner,2021-06-21,0.0,Rennhofstrasse,7008,Mauren,171,,Christine.Brunner@yahoo.com,+41359190593,FRANCE
654,151638,446533,325721,Marie,Frei,2024-08-31,0.0,Heiligkreuz,7010,Ruggell,700,,Marie.Frei@yahoo.com,+41990517324,FRANCE
183,157782,440394,327776,Laura,Zimmermann,2024-02-29,9.34,Dohlenweg,7001,Vaduz,377,,Laura.Zimmermann@yahoo.com,+415377859671,FRANCE
125,143456,432225,331873,Karin,Moser,2021-11-30,0.0,Speckibünt,7005,Schaan,190,,Karin.Moser@outlook.com,+41493535329,FRANCE
591,135270,450659,378983,Marianne,Graf,2022-06-01,0.0,Kratzera,7009,Gamprin,964,,Marianne.Graf@yahoo.com,+498398930018,FRANCE
419,145516,438380,395369,Sarah,Widmer,2021-07-21,0.0,Haldenweg,7002,Triesen,939,,Sarah.Widmer@gmail.com,+41643307617,FRANCE
432,137346,419952,325747,Brigitte,Wyss,2024-04-27,7.4,Im Fetzer,7005,Schaan,294,,Brigitte.Wyss@outlook.com,+41177057893,FRANCE
522,190596,442494,323701,Susanne,Ferreira,2023-12-30,9.6,St. Martinsweg,7001,Vaduz,852,,Susanne.Ferreira@gmail.com,+41443064422,FRANCE
84,198789,460932,338051,Rita,Pereira,2021-06-13,0.0,Alpeltiweg,7004,Triesenberg,819,,Rita.Pereira@gmail.com,+49797714534,FRANCE
756,186504,467079,354438,Erika,Roth,2022-10-09,7.55,Feldstrasse,7002,Triesen,246,,Erika.Roth@yahoo.com,+41392501367,FRANCE
146,159884,430217,393351,Katharina,Baumgartner,2025-01-26,0.0,Schaaner Strasse,7007,Eschen,337,,Katharina.Baumgartner@outlook.com,+41228718713,FRANCE
908,155801,479379,311437,Sara,Bachmann,2022-02-17,7.85,Goldene Boos-Gasse,7007,Eschen,155,,Sara.Bachmann@gmail.com,+33455180411,FRANCE
103,125086,497827,393360,Margrit,Bucher,2024-03-21,0.0,Unterm Schloss,7003,Balzers,526,,Margrit.Bucher@yahoo.com,+41202246277,FRANCE
252,147615,430248,385169,Manuela,Suter,2023-01-26,9.75,Hub,7007,Eschen,494,,Manuela.Suter@gmail.com,+41382476421,FRANCE
21,151710,489649,327831,Esther,Berger,2025-03-09,10.65,Mühlegass,7009,Gamprin,723,,Esther.Berger@yahoo.com,+41797145228,FRANCE
267,129192,415933,395418,Anita,Kaufmann,2023-02-08,0.0,Stotz,7011,Schellenberg,798,,Anita.Kaufmann@outlook.com,+41946233491,FRANCE
339,118968,489665,366747,Heidi,Studer,2024-02-19,0.0,Langacker,7010,Ruggell,273,,Heidi.Studer@yahoo.com,+41580872343,FRANCE
342,131262,415947,374944,Beatrice,Lüthi,2023-08-27,0.0,Langgasse,7002,Triesen,997,,Beatrice.Lüthi@gmail.com,+41858017945,FRANCE
45,145620,461014,311461,Julia,Bühler,2024-06-23,0.0,Kartennaweg,7001,Vaduz,353,,Julia.Bühler@outlook.com,+41147478684,FRANCE
638,133335,499927,344229,Rosmarie,Kunz,2022-07-24,0.0,Staudengasse,7007,Eschen,763,,Rosmarie.Kunz@yahoo.com,+41193937566,FRANCE
549,133341,497880,325803,Ana,dos Santos,2022-06-25,0.0,Alte Landstrasse,7002,Triesen,929,,Ana.dos Santos@gmail.com,+41143308972,FRANCE
487,137444,471261,399541,Sonja,Lehmann,2023-11-16,0.0,Farabodastrasse,7004,Triesenberg,289,,Sonja.Lehmann@outlook.com,+41393502893,FRANCE
780,166117,485601,389307,Doris,Hofer,2022-08-31,0.0,Sägagass,7002,Triesen,563,,Doris.Hofer@gmail.com,+41609161391,FRANCE
795,135398,454890,342211,Yvonne,Krasniqi,2023-07-22,0.0,Dorf,7011,Schellenberg,726,,Yvonne.Krasniqi@yahoo.com,+41350537910,FRANCE
118,162033,448748,372933,Eva,Marti,2021-03-22,9.67,Dr. Josef Hoop-Strasse,7007,Eschen,121,,Eva.Marti@yahoo.com,+41961384639,FRANCE
281,162035,456958,381126,Martina,Rodrigues,2024-04-05,0.0,Galenburst,7008,Mauren,81,,Martina.Rodrigues@outlook.com,+41954187978,FRANCE
713,147704,444679,397511,Jacqueline,Koch,2024-02-07,11.47,Winkelgass,7005,Schaan,8,,Jacqueline.Koch@gmail.com,+498220752081,FRANCE
883,166139,495896,348365,Elena,Christen,2021-11-05,0.0,In der Blacha,7006,Planken,463,,Elena.Christen@yahoo.com,+41103577815,FRANCE
406,114939,452899,329933,Alexandra,Arnold,2024-02-25,0.0,Noflerstrasse,7010,Ruggell,211,,Alexandra.Arnold@outlook.com,+415184139481,FRANCE
673,137471,485680,340178,Gabriela,Berisha,2022-03-22,6.37,Widaustrasse,7010,Ruggell,40,,Gabriela.Berisha@yahoo.com,+41205142238,FRANCE
674,176387,424241,395476,Franziska,Frey,2023-10-02,5.41,Schwefelstrasse,7001,Vaduz,803,,Franziska.Frey@gmail.com,+49712868062,FRANCE
468,114949,493873,387301,Irene,Wüthrich,2021-07-08,4.29,Sportfeldstrasse,7008,Mauren,730,,Irene.Wüthrich@gmail.com,+41442314980,FRANCE
86,166152,432435,366828,Fabienne,Egli,2025-02-24,0.0,Forellenweg,7001,Vaduz,1037,,Fabienne.Egli@outlook.com,+41482660584,FRANCE
560,151819,454966,393454,Cornelia,Zürcher,2023-02-26,0.0,Innere Wiesen,7007,Eschen,270,,Cornelia.Zürcher@yahoo.com,+49475685122,FRANCE
403,147726,416054,344309,Sabrina,Gashi,2023-10-12,0.0,Ruggeller Strasse,7009,Gamprin,294,,Sabrina.Gashi@outlook.com,+41393892103,FRANCE
138,139534,485688,313590,Isabelle,Fuchs,2023-03-19,0.0,Unterfeld,7002,Triesen,108,,Isabelle.Fuchs@yahoo.com,+49305707282,FRANCE
828,117007,422198,327929,Patricia,Fernandes,2024-05-18,6.15,Schellenbergstrasse,7010,Ruggell,737,,Patricia.Fernandes@gmail.com,+41130402579,FRANCE
764,182550,467264,336122,Nathalie,Pfister,2025-01-19,7.71,Halaweg,7011,Schellenberg,688,,Nathalie.Pfister@outlook.com,+495484540185,FRANCE
869,143642,487753,317691,Melanie,Gasser,2023-06-03,0.0,Oberdorf,7008,Mauren,994,,Melanie.Gasser@yahoo.com,+41424118561,FRANCE
876,139548,422223,372988,Rosa,Stalder,2022-09-01,0.0,Schaaner Strasse,7009,Gamprin,326,,Rosa.Stalder@outlook.com,+41456347945,FRANCE
744,196893,450895,332050,Corinne,Schweizer,2023-01-16,0.0,Murasträssle,7003,Balzers,893,,Corinne.Schweizer@yahoo.com,+41645110061,FRANCE
605,127277,430448,370964,Nina,Koller,2024-07-02,0.0,Valünastrasse,7005,Schaan,412,,Nina.Koller@outlook.com,+41159705402,FRANCE
120,166190,440707,368927,Angela,Martin,2024-04-06,10.7,Schlattmadweg,7010,Ruggell,265,,Angela.Martin@gmail.com,+41551688507,FRANCE
333,135476,416132,393503,Nadine,Peter,2024-02-11,0.0,Oberbühl,7006,Planken,1002,,Nadine.Peter@outlook.com,+49825837884,FRANCE
779,192832,424325,319786,Jessica,Gomes,2021-06-13,0.0,Gewerbeweg,7001,Vaduz,1033,,Jessica.Gomes@yahoo.com,+33272171327,FRANCE
76,164177,461191,395567,Emma,Bieri,2024-12-30,0.0,Fanalwegle,7005,Schaan,78,,Emma.Bieri@yahoo.com,+41529779010,FRANCE
108,129361,498057,330046,Vanessa,Maurer,2022-03-05,0.0,Bachweg,7007,Eschen,882,,Vanessa.Maurer@yahoo.com,+41362656082,FRANCE
840,149842,457101,358727,Lara,Wenger,2023-11-16,0.0,Kulmstrasse,7004,Triesenberg,53,,Lara.Wenger@outlook.com,+41521451866,FRANCE
234,182609,424339,352586,Sophie,Kohler,2024-12-02,2.99,Under Rüttigass,7001,Vaduz,556,,Sophie.Kohler@yahoo.com,+41951306593,FRANCE
853,127319,440726,323920,Edith,Burri,2024-12-21,0.0,Wislistrasse,7004,Triesenberg,897,,Edith.Burri@yahoo.com,+49623882596,FRANCE
358,129378,471453,371027,Lea,Furrer,2022-09-25,0.0,Im Reberle,7005,Schaan,714,,Lea.Furrer@outlook.com,+412794809700,FRANCE
207,131431,493985,366934,Alice,Michel,2021-08-08,5.31,Am Exerzierplatz,7001,Vaduz,180,,Alice.Michel@yahoo.com,+49283568486,FRANCE
701,133488,467365,338265,Gertrud,Martins,2023-10-10,0.0,Theresienweg,7008,Mauren,798,,Gertrud.Martins@gmail.com,+41955838824,FRANCE
585,135541,457130,368990,Caroline,Vogel,2024-07-07,0.0,Sebastianweg,7007,Eschen,276,,Caroline.Vogel@outlook.com,+41289735023,FRANCE
48,168310,469424,375135,Anne,Leuenberger,2022-06-03,0.0,Schaanerstrasse,7001,Vaduz,746,,Anne.Leuenberger@gmail.com,+49147804530,FRANCE
529,168314,483762,364911,Tanja,Schär,2023-01-12,0.0,Im Tröxle,7005,Schaan,629,,Tanja.Schär@outlook.com,+41160604535,FRANCE
214,121216,489910,387454,Regula,Egger,2024-10-16,6.73,Badstoba,7002,Triesen,745,,Regula.Egger@yahoo.com,+33831185271,FRANCE
824,164230,485815,371070,Denise,Garcia,2021-11-03,0.0,Johann Georg Helbert-Strasse,7007,Eschen,737,,Denise.Garcia@gmail.com,+419417154941,FRANCE
200,168344,496057,364935,Carmen,Rüegg,2024-03-12,0.0,Brühlgasse,7007,Eschen,100,,Carmen.Rüegg@outlook.com,+41240109954,FRANCE
197,149921,465338,364957,Simone,Lopes,2024-09-25,0.0,Poststrasse,7010,Ruggell,817,,Simone.Lopes@gmail.com,+41635988357,FRANCE
213,176546,416186,383400,Céline,Hofmann,2023-06-11,0.0,Aubach,7003,Balzers,686,,Céline.Hofmann@yahoo.com,+415036765589,FRANCE
864,154025,483772,379306,Sabine,Hunziker,2022-05-17,0.0,Freiendorfstrasse,7008,Mauren,485,,Sabine.Hunziker@gmail.com,+41151693726,FRANCE
683,166316,461244,315822,Petra,Ammann,2025-02-18,0.0,Hellwies,7008,Mauren,362,,Petra.Ammann@gmail.com,+41606638499,FRANCE
580,127404,467391,315827,Jasmin,Hess,2023-04-03,13.58,Prufatschengstrasse,7004,Triesenberg,654,,Jasmin.Hess@gmail.com,+41180324782,FRANCE
437,143791,459201,352699,Catherine,Tanner,2022-05-07,0.0,Rebenweg,7005,Schaan,115,,Catherine.Tanner@outlook.com,+416854689213,FRANCE
32,141753,496067,393673,Tamara,Hug,2024-03-01,0.0,Bächlegatterweg,7002,Triesen,492,,Tamara.Hug@gmail.com,+41617740736,FRANCE
151,164283,428486,346580,Susanna,Kälin,2024-04-21,0.0,Industriestrasse,7005,Schaan,100,,Susanna.Kälin@gmail.com,+41866482627,FRANCE
729,182729,467406,328151,Marina,Schuler,2021-08-09,0.0,Im Neugut,7005,Schaan,389,,Marina.Schuler@outlook.com,+41654705096,FRANCE
478,190922,487894,324085,Nadia,Sutter,2021-05-30,0.0,Rietle,7003,Balzers,223,,Nadia.Sutter@yahoo.com,+41330516950,FRANCE
38,145868,446941,371196,Stefanie,Wagner,2023-07-25,0.0,Werdenbergerweg,7001,Vaduz,642,Bis,Stefanie.Wagner@outlook.com,+41558557657,FRANCE
564,192975,455134,324094,Lisa,Gisler,2021-12-01,0.0,Ziegeleistrasse,7007,Eschen,1044,,Lisa.Gisler@gmail.com,+41379150815,FRANCE
888,117205,465375,369155,Diana,Blaser,2024-12-01,0.0,Äussere Wiesen,7007,Eschen,1037,,Diana.Blaser@gmail.com,+33689859045,FRANCE
870,197080,430571,391693,Michelle,Alves,2021-05-23,0.0,Kappileweg,7009,Gamprin,966,,Michelle.Alves@yahoo.com,+41505082344,FRANCE
562,158184,440814,371215,Chantal,Oliveira,2024-11-17,0.0,Gnetsch,7003,Balzers,135,,Chantal.Oliveira@outlook.com,+41173847017,FRANCE
216,137708,428527,383504,Chiara,Hauser,2023-08-22,0.0,Runkelsstrasse,7002,Triesen,557,,Chiara.Hauser@yahoo.com,+33277015025,FRANCE
466,113133,485898,311827,Christina,Schmidt,2021-06-09,0.0,Im Ried,7004,Triesenberg,201,,Christina.Schmidt@yahoo.com,+41784484852,FRANCE
809,139758,430606,393748,Sofia,Ribeiro,2022-06-07,4.98,Kurrstrasse,7004,Triesenberg,87,Bis,Sofia.Ribeiro@outlook.com,+41155388415,FRANCE
28,162297,457236,356884,Rahel,Silva,2023-10-18,15.25,Junkerriet,7003,Balzers,548,Bis,Rahel.Silva@gmail.com,+33450839044,FRANCE
616,152061,434718,311838,Therese,Gonçalves,2021-10-26,0.0,Wiesenstrasse,7007,Eschen,349,,Therese.Gonçalves@yahoo.com,+41233970183,FRANCE
189,174595,444963,371232,Johanna,Favre,2024-01-11,0.0,Undersilumstrasse,7004,Triesenberg,1041,,Johanna.Favre@yahoo.com,+33209707532,FRANCE
